trial,lr,margin_loss_siamese,margin_loss_triplet,data_filter_pair,data_filter_triplet,lora_r
0,3e-05,0.4,0.4,0.0,0.0,32
1,3e-05,0.6,0.4,0.25,0.0,32
2,3e-05,0.6,0.2,0.0,0.25,32
3,3e-05,0.4,0.2,0.5,0.25,16
4,3e-05,0.2,0.6,0.5,0.0,32
5,3e-05,0.4,0.2,0.5,0.0,32
6,3e-05,0.6,0.4,0.0,0.25,32
7,3e-05,0.4,0.4,0.5,0.33,32
8,3e-05,0.2,0.6,0.0,0.0,32
9,3e-05,0.2,0.6,0.33,0.5,16
10,3e-05,0.6,0.4,0.5,0.33,32
11,3e-05,0.6,0.4,0.5,0.5,16
12,3e-05,0.6,0.6,0.0,0.0,32
13,3e-05,0.6,0.2,0.25,0.25,32
14,3e-05,0.6,0.4,0.0,0.5,16
15,3e-05,0.4,0.2,0.33,0.25,32
16,3e-05,0.2,0.4,0.33,0.0,16
17,3e-05,0.2,0.2,0.0,0.33,32
18,3e-05,0.2,0.4,0.33,0.25,16
19,3e-05,0.6,0.6,0.0,0.25,32
20,3e-05,0.2,0.6,0.5,0.5,32
21,3e-05,0.6,0.2,0.33,0.0,32
22,3e-05,0.4,0.4,0.33,0.0,16
23,3e-05,0.2,0.6,0.25,0.5,16
24,3e-05,0.4,0.6,0.5,0.33,16
25,3e-05,0.4,0.6,0.5,0.0,32
26,3e-05,0.6,0.6,0.5,0.33,16
27,3e-05,0.4,0.4,0.0,0.33,16
28,3e-05,0.6,0.4,0.5,0.25,16
29,3e-05,0.4,0.4,0.0,0.33,32
30,3e-05,0.2,0.2,0.0,0.0,32
31,3e-05,0.4,0.2,0.5,0.33,16
32,3e-05,0.6,0.6,0.25,0.0,32
33,3e-05,0.2,0.6,0.33,0.33,32
34,3e-05,0.6,0.2,0.25,0.0,32
35,3e-05,0.2,0.4,0.0,0.33,32
36,3e-05,0.2,0.2,0.33,0.5,16
37,3e-05,0.2,0.6,0.33,0.25,16
38,3e-05,0.6,0.6,0.0,0.33,16
39,3e-05,0.2,0.2,0.0,0.5,16
40,3e-05,0.4,0.4,0.5,0.0,32
41,3e-05,0.2,0.2,0.5,0.25,16
42,3e-05,0.6,0.6,0.5,0.0,16
43,3e-05,0.4,0.6,0.5,0.25,32
44,3e-05,0.4,0.2,0.0,0.33,16
45,3e-05,0.6,0.2,0.33,0.25,16
46,3e-05,0.4,0.6,0.25,0.25,16
47,3e-05,0.4,0.2,0.25,0.0,32
48,3e-05,0.6,0.4,0.5,0.25,32
49,3e-05,0.2,0.4,0.0,0.25,16
50,3e-05,0.6,0.6,0.25,0.5,32
51,3e-05,0.4,0.2,0.33,0.0,32
52,3e-05,0.2,0.4,0.25,0.25,16
53,3e-05,0.6,0.4,0.0,0.33,16
54,3e-05,0.2,0.6,0.25,0.0,32
55,3e-05,0.2,0.4,0.0,0.0,16
56,3e-05,0.2,0.4,0.5,0.33,32
57,3e-05,0.4,0.4,0.25,0.25,32
58,3e-05,0.2,0.4,0.33,0.5,32
59,3e-05,0.6,0.4,0.33,0.0,32
60,3e-05,0.6,0.2,0.5,0.5,32
61,3e-05,0.2,0.2,0.0,0.33,16
62,3e-05,0.4,0.2,0.25,0.25,16
63,3e-05,0.4,0.6,0.25,0.33,32
64,3e-05,0.2,0.2,0.25,0.0,32
65,3e-05,0.6,0.2,0.25,0.25,16
66,3e-05,0.6,0.2,0.5,0.0,32
67,3e-05,0.6,0.6,0.5,0.33,32
68,3e-05,0.4,0.2,0.5,0.25,32
69,3e-05,0.6,0.2,0.25,0.0,16
70,3e-05,0.6,0.2,0.33,0.25,32
71,3e-05,0.6,0.2,0.0,0.5,32
72,3e-05,0.6,0.4,0.33,0.25,32
73,3e-05,0.6,0.6,0.33,0.33,16
74,3e-05,0.6,0.6,0.5,0.5,32
75,3e-05,0.2,0.6,0.0,0.25,16
76,3e-05,0.6,0.4,0.25,0.25,32
77,3e-05,0.6,0.2,0.33,0.0,16
78,3e-05,0.2,0.4,0.33,0.25,32
79,3e-05,0.4,0.2,0.25,0.0,16
80,3e-05,0.4,0.6,0.33,0.25,16
