date,debate,dossier,number,author_name,author_group,amendment_content,amendment_summary
2024-11-04,RUANR5L17S2025IDS28651,Projet de loi de financement de la sécurité sociale pour 2025,998,Justine Gruet,DR,Supprimer cet article.,"L’article 15 du PLFSS entérine par la modification du code de la sécurité sociale, la fin du dialogue conventionnel. En effet, dans l’optique de maîtriser les dépenses de l’Assurance Maladie, la CNAM et ses ministres de tutelles pourront de façon unilatérale baisser les tarifs en matière de biologie et d’imagerie médicale. Ces dispositions sont une atteinte grave au dialogue social. Dans un contexte d’épuisement et découragement d’un certain nombre de personnels de santé, de pénurie dans de nombreux secteurs, il apparaît pour le moins inopportun d’adopter un article renforçant l’unilatéralité au détriment de la confiance et du dialogue."
2024-11-04,RUANR5L17S2025IDS28651,Projet de loi de financement de la sécurité sociale pour 2025,921,Elie Califer,SOC,"Compléter cet article par les quatre alinéas suivants :  « IV.  – L’article L. 322‑5 du code de la sécurité sociale est complété par deux alinéas ainsi rédigés : « « Dans les collectivités régies par l’article 73 de la Constitution, les frais d’un transport effectué par une entreprise de taxi ne peuvent donner lieu à remboursement que si cette entreprise a préalablement conclu une convention avec un organisme local d’assurance maladie. Cette convention, conclue pour une durée au plus égale à cinq ans, conforme à une convention type établie par décision du directeur général de l’Union nationale des caisses d’assurance maladie après avis des organisations professionnelles nationales les plus représentatives du secteur, détermine, pour les prestations de transport par taxi, les tarifs de responsabilité. A l’exception de la tarification des transports partagés, ces tarifs de responsabilité ne peuvent excéder les tarifs des courses de taxis résultant de la réglementation des prix applicable à ce secteur. Cette convention définit les conditions dans lesquelles l’assuré peut être dispensé de l’avance des frais. Elle peut également prévoir la possibilité de subordonner le conventionnement à une durée d’existence préalable de l’autorisation de stationnement.  « « En conformité avec le précédent alinéa, l’organisme local d’assurance maladie refuse les demandes de conventionnement des entreprises de taxis lorsque le nombre de véhicules faisant l’objet d’une convention dans le territoire excède un nombre fixé par le directeur général de l’agence régionale de santé pour le territoire concerné sur le fondement de critères tenant compte des caractéristiques démographiques, géographiques et d’équipement sanitaire du territoire ainsi que du nombre de véhicules affectés au transport de patients. Les modalités d’application du présent alinéa sont fixées par décret en Conseil d’État. » « V. – La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par la majoration de l’accise sur les tabacs prévue au chapitre IV du titre I er  du livre III du code des impositions sur les biens et services. » »","Le présent amendement vise à adapter l’article 17 du PLFSS à la réalité des Outre-mer.  Il est considéré inopportun de transférer à la Sécurité sociale la compétence d'encadrer le conventionnement des taxis, car cette possibilité existe déjà sous la responsabilité du directeur de l'Agence Régionale de Santé (ARS). Ce dernier est le mieux placé pour cette tâche puisqu'il est également compétent pour réguler l'installation des transports sanitaires, tels que les ambulances et les véhicules sanitaires légers (VSL), au niveau départemental. Cependant, cette compétence n'a jamais été mise en œuvre faute de publication du décret d'application correspondant (cf. article L.322-5 du Code de la Sécurité sociale). Par ailleurs, l'article 17 du présent PLFSS vise à modifier les modalités de fixation des tarifs conventionnels. Jusqu'à présent, ces tarifs étaient établis en appliquant une remise sur les tarifs préfectoraux des taxis, lesquels intègrent l'inflation. La nouvelle proposition confierait à la Sécurité sociale le pouvoir exclusif de déterminer la base tarifaire, ce qui suscite des craintes de pénalisation pour les professionnels du secteur. De plus, le dossier de presse du PLFSS 2025 indique une volonté d'harmoniser les tarifs du transport sanitaire. Or, bien que les activités soient proches, les modalités d'accès et d'exercice des professions concernées diffèrent. Il serait donc inapproprié d'envisager une rémunération uniformisée qui ne tiendrait pas compte de ces spécificités."
2024-11-04,RUANR5L17S2025IDS28650,Projet de loi de financement de la sécurité sociale pour 2025,569,Karine Lebon,GDR,"La section 3  bis  du chapitre 5 du titre IV du Livre II du code de la sécurité sociale est ainsi rétablie : « Section 3  bis  :  «  Taxation des publicités en faveur de boissons alcooliques «  Art. L. 246 . – I. – Il est institué une taxe perçue sur les dépenses de publicité portant sur la promotion d’une boisson alcoolique. Son produit est affecté à la branche maladie de la sécurité sociale. « II. – Sont redevables de cette taxe les entreprises : « – produisant, important ou distribuant en France des boissons alcooliques ou leurs représentants « – et dont le chiffre d’affaires du dernier exercice est supérieur ou égal à 10 millions d’euros, hors taxe sur la valeur ajoutée. « III. – La taxe est assise sur les frais d’achats d’espaces publicitaires, quelle que soit la nature du support retenu et quelle que soit sa forme, matérielle ou immatérielle, ainsi que les frais d’évènements publics et de manifestations de même nature. « IV. – Le taux de la taxe est fixé à 3 % du montant hors taxes sur la valeur ajoutée des dépenses mentionnées au I du présent article. « V. – Les modalités du recouvrement sont instaurées par décret. « VI. – Le présent article entre en vigueur le 1 er  janvier 2025. »","L’alcool est à l’origine de 41 000 morts par an en France10, sachant que la crise sanitaire a généré une augmentation de la consommation d’alcool chez les personnes vivant avec une addiction, laissant présumer des dommages sur le long-terme. Toute consommation d’alcool comporte un risque, c’est pourquoi les entreprises qui incitent à la consommation d’alcool doivent participer financièrement à la prévention des risques et des dommages liés à cette substance. Le présent amendement vise à taxer la publicité pour les produits alcooliques afin de financer le Fonds de lutte contre les addictions. D’une part, en s’acquittant de cette taxe, les grands industriels de l’alcool contribuent financièrement à diminuer les risques inhérents à leur produit. D’autre part, cette contribution permettra de diversifier les ressources de ce fonds et de concrétiser l’engagement pris par le Gouvernement au travers du plan de lutte contre le cancer : faire de la prévention une priorité de la politique de santé publique."
2024-11-04,RUANR5L17S2025IDS28651,Projet de loi de financement de la sécurité sociale pour 2025,2236,Yannick Neuder,DR,"À la fin de l’alinéa 8, substituer aux mots : « et, le cas échéant, les conditions de facturation de suppléments locaux »,  les mots :  « , ainsi que leurs conditions de facturation ; ».",Amendement rédactionnel. 
2024-10-29,RUANR5L17S2025IDS28626,Projet de loi de financement de la sécurité sociale pour 2025,1176,Guillaume Lepers,DR,I. – Le V de l’article L. 741‑16 du code rural et de la pêche maritime est abrogé. II. – La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par la majoration de l’accise sur les tabacs prévue au chapitre IV du titre I er  du livre III du code des impositions sur les biens et services.  ,"Les coopératives d’utilisation de matériel agricole (CUMA) permettent à des agriculteurs de se procurer du matériel et de créer des emplois en temps partagé, qu’ils n’auraient pas eu les moyens de financer seuls. Avec 11 510 Cuma en France de 23 adhérents en moyenne, un agriculteur sur deux est adhérent d’une Cuma. Ces coopératives ont permis de développer diverses formes de mutualisation et ont été pionnières sur le développement des groupements d’employeurs dans la coopération agricole. Cependant, à ce jour, étant expressément exclues du bénéfice de l’exonération visée à l’article L 741-16 du code rural et de la pêche maritime, les Cuma employeuses ne peuvent pas appliquer l’exonération dédiée à l’embauche de travail saisonnier. Cette exonération dite « TO-DE » concerne des tâches liées au cycle de la production animale et végétale ou aux actes de conditionnement des produits agricoles directement accomplis sous l’autorité d’un exploitant agricole. Les Cuma sont dirigées par les exploitants agricoles, aussi elles répondent à cette exigence. Cette exclusion est donc d’autant plus contestable que les Cuma sont des employeurs agricoles, qu’elles embauchent des saisonniers et qu’elles constituent le prolongement de l’exploitation de leurs adhérents."
2024-10-30,RUANR5L17S2025IDS28632,Projet de loi de financement de la sécurité sociale pour 2025,2144,Paul Midy,EPR,Supprimer l’alinéa 12.  ,"Le dispositif jeune entreprise innovante (JEI) permet d'accompagner la création et la croissance de milliers de PME innovantes sur tous nos territoires. La suppression de la partie sociale de ce dispositif serait délétère pour l'emploi et apporterait un vrai frein à la capacité d'innovation française. Ce serait également se priver de solutions pour la transition écologique, la réindustrialisation et la souveraineté technologique de notre pays. Le présent amendement propose donc de revenir sur cette suppression et de rétablir le dispositif JEI dans son intégralité. Le dispositif JEI est un dispositif important de l’architecture de soutien à la R&amp;D qui a été l’objet répété d’évaluations positives. C’est le seul dispositif horizontal (sans sélection ad hoc) de soutien à la R&amp;D ciblant les jeunes entreprises innovantes dès leur création.  Le dispositif a fait l’objet de nombreuses évaluations depuis sa création en 2004, qui ont toutes démontré son efficacité, c’est-àdire un impact positif sur les dépenses et l’emploi de R&amp;D. Son ciblage et ses modalités simples et rapides de versement ont permis au dispositif d’être classé premier par la Commission européenne dans son analyse des dispositifs européens de soutien à l’innovation.  Toute mesure d’économie sur le dispositif JEI pénaliserait fortement les start-ups et PME innovantes, alors que l’écosystème subit une crise du financement depuis bientôt deux ans. Surtout, une mesure d’économie intervenant quelques mois après l’extension du dispositif aux Jeunes Entreprises de Croissance (JEC) et des autres mesures mises en oeuvre suite au rapport Midy pourrait créer de la confusion et envoyer un signal de gestion erratique de la politique de soutien à l’innovation. L’amendement proposé a donc pour but de rétablir le volet social du régime de la jeune entreprise innovante, en lien avec le rétablissement des crédits de compensation par amendement au PLF. Les dernières prévisions de coût du dispositif, établies par l’Acoss, s’élèvent à 281,5 M€ d’exonérations pour les JEI en 2025. Le coût des exonérations pour les jeunes entreprises de croissance serait de 10 M€ d’après les estimations de la DGE (les prévisions de l’Acoss n’étant pas encore disponibles). Les crédits seraient ouverts en loi de finances pour 2025 à hauteur de ces prévisions ; l’impact sur l’équilibre financier de la Sécurité sociale serait donc nul."
2024-11-04,RUANR5L17S2025IDS28703,Projet de loi de financement de la sécurité sociale pour 2025,846,Nicolas Thierry,ECOS,"La sous-section 2 de la section 3 du chapitre IV du titre I er  du livre III du code des impositions sur les biens et services est ainsi modifiée : 1° L’article L. 314‑24 est ainsi modifié : a)  Au premier alinéa, les dates : « 2023 au 31 décembre 2023 » sont remplacées par les dates : « 2025 au 1 er  janvier 2027 » ; b)  Le tableau du deuxième alinéa est ainsi rédigé : «  Catégorie Fiscale Paramètres de l'accise Montant applicable au 1 er  janvier 2025 Montant applicable au 1 er  janvier 2026 Montant applicable au 1 er  janvier 2027 Cigares et cigarillos Taux (en %)  42  44,7  47 Cigares et cigarillos Tarif (en €/1 000 unités)   57,2 58,5   61,5 Cigares et cigarillos  Minimum de perception (en €/1000 unités)  441  508  582 Cigarettes Taux (en %)  57,3  58,6  59,7 Cigarettes  Tarif (en €/1 000 unités) 72,5   73,5  75 Cigarettes  Minimum de perception (en €/1000 unités)  452  500 553  Tabacs fine coupe destinés à rouler les cigarettes Taux (en %)  51,8 53,8   55,5 Tabacs fine coupe destinés à rouler les cigarettes  Tarif (en €/1 000 unités)  105,1  106,5  107,3 Tabacs fine coupe destinés à rouler les cigarettes  Minimum de perception (en €/1000 unités)  441  496 551  Tabacs à chauffer commercialisés en bâtonnets Taux (en %)  57  58  59 Tabacs à chauffer commercialisés en bâtonnets  Tarif (en €/1 000 unités)  45,5  57,5  69,5 Tabacs à chauffer commercialisés en bâtonnets  Minimum de perception (en €/1000 unités)  359 443   541,6 Autres tabacs à chauffer Taux (en %)  51,4  51,5  53,4 Autres tabacs à chauffer  Tarif (en €/1 000 unités)  155,2  196,1  197,7 Autres tabacs à chauffer  Minimum de perception (en €/1000 unités)56  1146,4  1319  1479 Autres tabacs à fumer ou à inhaler après avoir été chauffés Taux (en %)  54,5  56  57,4 Autres tabacs à fumer ou à inhaler après avoir été chauffés  Tarif (en €/1 000 unités) 35,6   36,3 37  Autres tabacs à fumer ou à inhaler après avoir été chauffés Minimum de perception (en €/1000 unités)   231  258  287 Tabacs à priser Taux (en %)  60,5  61,7  62,7 Tabacs à mâcher Taux (en %)  46,2  48,7  50,9  » ; c)  Le cinquième alinéa est supprimé ; 2° Le tableau du deuxième alinéa de l’article L. 314‑25 est ainsi rédigé : «  Catégorie Fiscale Paramètres de l'accise Montant applicable au 1 er  janvier 2025 Montant applicable au 1 er  janvier 2026 Montant applicable au 1 er  janvier 2027 Cigares et cigarillos Taux (en %) 40 43 45,6 Cigares et cigarillos Tarif (en €/1 000 unités) 57,7 61,8 62,8 Cigarettes Taux (en %) 56 58 59 Cigarettes Tarif (en €/1 000 unités) 68 69,5 72,5 Tabacs fine coupe destinés à rouler les cigarettes Taux (en %) 51,8 54,6 56,2 Tabacs fine coupe destinés à rouler les cigarettes Tarif (en €/1 000 unités) 95,7 97,6 98,2 Autres tabacs à fumer ou à inhaler après avoir été chauffés Taux (en %) 50,8 53,5 55,2 Autres tabacs à fumer ou à inhaler après avoir été chauffés Tarif (en €/1 000 unités) 32,5 33,5 33,7 Tabacs à chauffer commercialisés en bâtonnets Taux (en %) 52,3 56,5 59 Tabacs à chauffer commercialisés en bâtonnets Tarif (en €/1 000 unités) 41,5 42,5 44 Autres tabacs à chauffer Taux (en %) 49,4 52,4 54 Autres tabacs à chauffer Tarif (en €/1 000 unités) 155 158,5 164,1 Tabacs à priser Taux (en %) 56,2 58,4 60 Tabacs à mâcher Taux (en %) 45,5 49,2 51,4  ».","Cet amendement vise à déterminer une trajectoire fiscale pour les produits du tabac visant l'objectif d'un paquet de 20 cigarettes à 16 euros en 2027. Le tabac demeure la première cause de mortalité évitable en France. Chaque année, 75 000 fumeurs décèdent de leur tabagisme. Le tabac reste aussi à l'origine d'inégalités sociales fortes. Il touche particulièrement les classes populaires et explique une part de la différence d'espérance de vie selon les catégories sociales. Le tabac représente enfin un coût social considérable, estimé à 156 milliards d'euros en 2019, excédant largement les recettes fiscales françaises, d'environ 13 milliards d'euros. Alors que l'OMS reconnaît la hausse de la fiscalité comme l'outil le plus efficace pour lutter contre le tabagisme, il n'existe en France aujourd'hui aucune trajectoire fiscale pour les produits du tabac, dont l'évolution n'est actuellement liée qu'à la seule inflation. Aussi, cet amendement propose une trajectoire sur trois ans, à raison d'une hausse annuelle d'environ 10% des prix des produits du tabac, visant un objectif clair : parvenir à un paquet de 20 cigarettes à 16 euros en 2027. La trajectoire proposée prévoit des évolutions similaires pour les autres produits du tabac pour éviter des transferts de consommation. Cette trajectoire fiscale a été travaillée avec l'Alliance contre le Tabac."
2024-11-04,RUANR5L17S2025IDS28703,Projet de loi de financement de la sécurité sociale pour 2025,2051,Yannick Neuder,DR,"I – À l’alinéa 22, supprimer le mot : « entreprise ». II. – En conséquence, à la fin du même alinéa, substituer au mot : « assujetti » le mot : « assujettie ».",Amendement rédactionnel
2024-11-05,RUANR5L17S2025IDS28622,Projet de loi de financement de la sécurité sociale pour 2025,1586,René Lioret,RN,"Après l’article L. 322‑5‑2 du code de la sécurité sociale, il est inséré un article L. 322‑5‑3 ainsi rédigé : «  Art. L322‑5‑3.  – I. – Les entreprises de transport sanitaire doivent, avant chaque prise en charge, vérifier les droits du patient à bénéficier du transport  via  une interface dédiée fournie par l’assurance maladie sans charges supplémentaires pour son budget. Ce dispositif permettra de s’assurer que le patient est bien éligible à une prise en charge et que le transport correspond à une prescription en cours de validité. Conformément aux dispositions de l’article 80 de la loi de financement de la sécurité sociale pour 2018, relatif à la réorganisation du financement des transports sanitaires, cette mesure vise à renforcer la régulation et la maîtrise des dépenses dans le cadre des transports pris en charge par l’assurance maladie. « II. – Si le patient n’est pas éligible à une prise en charge ou si la prescription a expiré, le transport n’est pas remboursé. Le non-respect de cette obligation expose les entreprises à des pénalités financières et à une suspension de leur conventionnement avec l’assurance maladie, conformément aux dispositions de l’article 80 de la loi de financement de la sécurité sociale 2018, qui encadre les sanctions liées à la non-conformité des prestations de transport sanitaire. « III. – Les patients doivent signer une attestation de transport après chaque déplacement pris en charge par l’assurance maladie, confirmant que le transport a bien été réalisé pour des raisons médicales conformes à la prescription. Cette disposition vise à s’assurer de la conformité des prestations et à éviter les abus, dans le prolongement des objectifs de régulation définis par l’article 80 de la loi de financement de la sécurité sociale 2018. « IV. – Cette attestation est transmise à l’assurance maladie  via  une plateforme numérique, et un contrôle aléatoire pourra être effectué pour vérifier la conformité de l’utilisation du transport avec les prescriptions médicales, en application des mécanismes de contrôle prévus par l’article 80 de la loi de financement de la sécurité sociale pour 2018. »","La fraude liée au transport sanitaire représente un enjeu financier majeur pour le système de santé français, notamment à travers la surfacturation, les prescriptions médicales abusives et l’utilisation non justifiée des services de transport pris en charge par l’assurance maladie. Pour lutter contre ces abus, cet amendement vise à responsabiliser les patients et à instaurer une vérification préalable systématique de leurs droits. En vertu de ces vérifications d’éligibilité et de prescriptions en cours de validité, les utilisations abusives de transports sanitaires réduiront ainsi drastiquement, tandis que la signature d’une attestation de transport à posteriori de celui-ci, permettra un meilleur contrôle pour l’assurance maladie."
2024-10-29,RUANR5L17S2025IDS28626,Projet de loi de financement de la sécurité sociale pour 2025,658,Julien Dive,DR,"I. – Avant l’alinéa 1, insérer l’alinéa suivant : « I A. – Au premier alinéa du I de l’article L. 741‑16 du code rural et de la pêche maritime, après la seconde occurrence du mot : « sociale », sont insérés les mots : « dans sa rédaction en vigueur le 31 décembre 2024 ». II. – En conséquence, après l’alinéa 1, insérer l’alinéa suivant : « I  bis . – Au second alinéa du VI de l’article L. 741‑16 du code rural et de la pêche maritime, après la seconde occurrence du mot : « sociale », sont insérés les mots : « dans sa rédaction en vigueur le 31 décembre 2024 ». III. – Compléter cet article par l’alinéa suivant : « III. – La perte de recettes pour les organismes de sécurité sociale résultant du I A et du I  bis  est compensée à due concurrence par la création d’une taxe additionnelle à l’accise sur les tabacs prévue au chapitre IV du titre I er  du livre III du code des impositions sur les biens et services. »","Cet amendement a pour objet de maintenir le système spécifique d’exonération de cotisations et contributions sociales patronales pour l’embauche de travailleurs occasionnels demandeurs d’emploi du secteur agricole (TO-DE) hors de la modification de la réduction générale des cotisations et contributions patronales prévue à l’article 8 de cette même loi, diminuant le taux maximal d’exonération au niveau du SMIC. Alors que le I et II de l’article 4 viennent répondre à la forte demande des employeurs agricoles de pérenniser et d’améliorer le dispositif TODE, la baisse des allègements généraux appliquée à ce dispositif engendrerait une hausse du coût du travail de 39,5 millions d’euros pour les employeurs de CDD saisonniers dès l’an prochain, et 80 millions d’euros par an à partir de 2026 ! Ce serait donc complétement contreproductif et provoquerait en définitive une nette dégradation de la compétitivité de la Ferme France et de probables ajustements à la baisse de l’emploi agricole. Il en resterait également un sentiment d’incompréhension parmi les employeurs."
